Kin-Method,AVG-PR,ROC-AUC,Acc,Emission(kW)
RDKitECFPMorganFP/ACVR1_AdaBoost,0.149199,0.615099,0.939252,9.477389e-08
RDKitECFPMorganFP/ACVR1_Naive Bayes,0.093069,0.539191,0.943925,6.391633e-09
RDKitECFPMorganFP/ACVR1_QDA,0.068571,0.596535,0.238318,7.370809e-08
RDKitECFPMorganFP/ACVR1_PLS-DA,0.384653,0.873762,0.943925,6.561154e-07
RDKitECFPMorganFP/ACVR1_DNN,0.374895,0.868399,0.943925,2.121457e-05
RDKitECFPMorganFP/ACVR2B_Nearest Neighbors,0.121599,0.603794,0.953271,2.680510e-08
RDKitECFPMorganFP/ACVR2B_Linear SVM,0.365914,0.770461,0.967290,7.708987e-09
RDKitECFPMorganFP/ACVR2B_RBF SVM,0.042056,0.500000,0.957944,3.846887e-08
RDKitECFPMorganFP/ACVR2B_Gaussian Process,0.042056,0.500000,0.957944,4.050564e-06
RDKitECFPMorganFP/ACVR2B_Decision Tree,0.277333,0.714905,0.962617,7.259192e-09
RDKitECFPMorganFP/ACVR2B_Random Forest,0.042056,0.500000,0.957944,5.879069e-07
RDKitECFPMorganFP/ACVR2B_AdaBoost,0.278037,0.664228,0.967290,8.478125e-08
RDKitECFPMorganFP/ACVR2B_Naive Bayes,0.467809,0.722222,0.976636,6.659913e-09
RDKitECFPMorganFP/ACVR2B_QDA,0.052941,0.607317,0.247664,1.034549e-07
RDKitECFPMorganFP/ACVR2B_PLS-DA,0.609770,0.806775,0.967290,6.275673e-07
RDKitECFPMorganFP/ACVR2B_DNN,0.470914,0.832791,0.957944,2.055173e-05
RDKitECFPMorganFP/ADCK4_Nearest Neighbors,0.098754,0.530821,0.929907,3.409511e-08
RDKitECFPMorganFP/ADCK4_Linear SVM,0.116075,0.582412,0.911215,9.093266e-09
RDKitECFPMorganFP/ADCK4_RBF SVM,0.070093,0.500000,0.929907,3.796310e-08
RDKitECFPMorganFP/ADCK4_Gaussian Process,0.070093,0.500000,0.929907,3.470713e-06
RDKitECFPMorganFP/ADCK4_Decision Tree,0.184735,0.623283,0.929907,8.724584e-09
RDKitECFPMorganFP/ADCK4_Random Forest,0.070093,0.500000,0.929907,4.974450e-07
RDKitECFPMorganFP/ADCK4_AdaBoost,0.090377,0.549079,0.906542,7.365035e-08
RDKitECFPMorganFP/ADCK4_Naive Bayes,0.076532,0.520771,0.911215,5.801903e-09
RDKitECFPMorganFP/ADCK4_QDA,0.082418,0.580402,0.219626,9.273389e-08
RDKitECFPMorganFP/ADCK4_PLS-DA,0.376367,0.800000,0.920561,5.899560e-07
RDKitECFPMorganFP/ADCK4_DNN,0.393638,0.820436,0.929907,2.063208e-05
