Kin-Method,AVG-PR,ROC-AUC,Acc,Emission(kW)
RDKitDescriptorsResults/ACVR1_AdaBoost,0.222104,0.693482,0.939252,1.187404e-07
RDKitDescriptorsResults/ACVR1_Naive Bayes,0.070269,0.600248,0.467290,5.555870e-09
RDKitDescriptorsResults/ACVR1_QDA,0.056075,0.495050,0.934579,3.074051e-08
RDKitDescriptorsResults/ACVR1_PLS-DA,0.320629,0.849422,0.943925,1.339347e-07
RDKitDescriptorsResults/ACVR1_DNN,0.164587,0.629538,0.943925,2.020112e-05
RDKitDescriptorsResults/ACVR2B_Nearest Neighbors,0.228037,0.661789,0.962617,1.179359e-08
RDKitDescriptorsResults/ACVR2B_Linear SVM,0.254933,0.611111,0.967290,4.845265e-09
RDKitDescriptorsResults/ACVR2B_RBF SVM,0.042056,0.500000,0.957944,2.143595e-08
RDKitDescriptorsResults/ACVR2B_Gaussian Process,0.042056,0.500000,0.957944,2.047807e-06
RDKitDescriptorsResults/ACVR2B_Decision Tree,0.201142,0.707588,0.948598,1.347696e-08
RDKitDescriptorsResults/ACVR2B_Random Forest,0.148494,0.555556,0.962617,7.727591e-07
RDKitDescriptorsResults/ACVR2B_AdaBoost,0.059605,0.545799,0.943925,1.185772e-07
RDKitDescriptorsResults/ACVR2B_Naive Bayes,0.067809,0.634417,0.808411,4.695641e-09
RDKitDescriptorsResults/ACVR2B_QDA,0.042056,0.500000,0.957944,3.180168e-08
RDKitDescriptorsResults/ACVR2B_PLS-DA,0.233255,0.779404,0.957944,1.311111e-07
RDKitDescriptorsResults/ACVR2B_DNN,0.646856,0.823306,0.971963,2.089385e-05
RDKitDescriptorsResults/ADCK4_Nearest Neighbors,0.133453,0.610720,0.906542,1.354600e-08
RDKitDescriptorsResults/ADCK4_Linear SVM,0.169920,0.620771,0.925234,6.619433e-09
RDKitDescriptorsResults/ADCK4_RBF SVM,0.070093,0.500000,0.929907,1.989268e-08
RDKitDescriptorsResults/ADCK4_Gaussian Process,0.131075,0.587437,0.920561,6.977917e-06
RDKitDescriptorsResults/ADCK4_Decision Tree,0.131075,0.587437,0.920561,1.410641e-08
RDKitDescriptorsResults/ADCK4_Random Forest,0.132087,0.533333,0.934579,8.001259e-07
RDKitDescriptorsResults/ADCK4_AdaBoost,0.087414,0.546566,0.901869,1.278521e-07
RDKitDescriptorsResults/ADCK4_Naive Bayes,0.103738,0.661307,0.542056,4.687197e-09
RDKitDescriptorsResults/ADCK4_QDA,0.070093,0.492462,0.915888,4.387790e-08
RDKitDescriptorsResults/ADCK4_PLS-DA,0.297452,0.816080,0.929907,9.434300e-08
RDKitDescriptorsResults/ADCK4_DNN,0.085640,0.497487,0.929907,2.080090e-05
RDKitDescriptorsResults/AKT3_Nearest Neighbors,0.504019,0.842647,0.971963,1.429244e-08
RDKitDescriptorsResults/AKT3_Linear SVM,0.532977,0.797549,0.976636,6.445062e-09
RDKitDescriptorsResults/AKT3_RBF SVM,0.046729,0.500000,0.953271,1.832382e-08
RDKitDescriptorsResults/AKT3_Gaussian Process,0.046729,0.500000,0.953271,1.854363e-06
RDKitDescriptorsResults/AKT3_Decision Tree,0.532977,0.797549,0.976636,7.602160e-09
RDKitDescriptorsResults/AKT3_Random Forest,0.046729,0.500000,0.953271,7.915697e-07
RDKitDescriptorsResults/AKT3_AdaBoost,0.532977,0.797549,0.976636,1.188007e-07
RDKitDescriptorsResults/AKT3_Naive Bayes,0.073055,0.663725,0.630841,5.188756e-09
RDKitDescriptorsResults/AKT3_QDA,0.237383,0.600000,0.962617,3.100458e-08
RDKitDescriptorsResults/AKT3_PLS-DA,0.817378,0.897549,0.976636,1.291282e-07
RDKitDescriptorsResults/AKT3_DNN,0.738525,0.910294,0.971963,2.059659e-05
RDKitDescriptorsResults/AMPK-alpha1_Nearest Neighbors,0.042056,0.500000,0.957944,1.233353e-08
RDKitDescriptorsResults/AMPK-alpha1_Linear SVM,0.042056,0.500000,0.957944,4.988249e-09
RDKitDescriptorsResults/AMPK-alpha1_RBF SVM,0.042056,0.500000,0.957944,1.843502e-08
RDKitDescriptorsResults/AMPK-alpha1_Gaussian Process,0.042056,0.500000,0.957944,1.885372e-06
RDKitDescriptorsResults/AMPK-alpha1_Decision Tree,0.111371,0.644715,0.929907,1.102794e-08
RDKitDescriptorsResults/AMPK-alpha1_Random Forest,0.042056,0.500000,0.957944,7.677797e-07
RDKitDescriptorsResults/AMPK-alpha1_AdaBoost,0.042056,0.487805,0.934579,1.178712e-07
RDKitDescriptorsResults/AMPK-alpha1_Naive Bayes,0.037128,0.405691,0.471963,5.205699e-09
RDKitDescriptorsResults/AMPK-alpha1_QDA,0.042056,0.495122,0.948598,3.081654e-08
RDKitDescriptorsResults/AMPK-alpha1_PLS-DA,0.163673,0.706233,0.957944,1.316268e-07
RDKitDescriptorsResults/AMPK-alpha1_DNN,0.098770,0.655827,0.957944,1.996460e-05
RDKitDescriptorsResults/ARK5_Nearest Neighbors,0.137383,0.595098,0.953271,1.425862e-08
RDKitDescriptorsResults/ARK5_Linear SVM,0.046729,0.500000,0.953271,5.957294e-09
RDKitDescriptorsResults/ARK5_RBF SVM,0.046729,0.500000,0.953271,1.795275e-08
RDKitDescriptorsResults/ARK5_Gaussian Process,0.046729,0.500000,0.953271,1.097204e-06
RDKitDescriptorsResults/ARK5_Decision Tree,0.054556,0.532843,0.925234,1.156351e-08
RDKitDescriptorsResults/ARK5_Random Forest,0.046729,0.500000,0.953271,9.124710e-07
RDKitDescriptorsResults/ARK5_AdaBoost,0.062056,0.540196,0.939252,1.166065e-07
RDKitDescriptorsResults/ARK5_Naive Bayes,0.060685,0.609804,0.528037,5.453464e-09
RDKitDescriptorsResults/ARK5_QDA,0.056342,0.535294,0.929907,3.027477e-08
RDKitDescriptorsResults/ARK5_PLS-DA,0.116833,0.707843,0.953271,1.291483e-07
RDKitDescriptorsResults/ARK5_DNN,0.038357,0.370588,0.953271,1.990666e-05
RDKitDescriptorsResults/AURKA_Nearest Neighbors,0.273213,0.666193,0.906542,1.407395e-08
RDKitDescriptorsResults/AURKA_Linear SVM,0.205324,0.585701,0.906542,7.481887e-09
RDKitDescriptorsResults/AURKA_RBF SVM,0.102804,0.500000,0.897196,1.755913e-08
RDKitDescriptorsResults/AURKA_Gaussian Process,0.102804,0.494792,0.887850,5.523761e-06
RDKitDescriptorsResults/AURKA_Decision Tree,0.155197,0.587595,0.873832,1.099488e-08
RDKitDescriptorsResults/AURKA_Random Forest,0.102804,0.500000,0.897196,7.486685e-07
RDKitDescriptorsResults/AURKA_AdaBoost,0.292821,0.651278,0.915888,1.217741e-07
RDKitDescriptorsResults/AURKA_Naive Bayes,0.116931,0.566525,0.294393,3.817148e-09
RDKitDescriptorsResults/AURKA_QDA,0.143585,0.522727,0.901869,7.523102e-08
RDKitDescriptorsResults/AURKA_PLS-DA,0.406704,0.852983,0.901869,9.754951e-08
RDKitDescriptorsResults/AURKA_DNN,0.463457,0.832386,0.906542,2.015115e-05
RDKitDescriptorsResults/AURKB_Nearest Neighbors,0.218706,0.635601,0.822430,1.370831e-08
RDKitDescriptorsResults/AURKB_Linear SVM,0.208776,0.563560,0.873832,7.379094e-09
RDKitDescriptorsResults/AURKB_RBF SVM,0.135514,0.500000,0.864486,2.261226e-08
RDKitDescriptorsResults/AURKB_Gaussian Process,0.135514,0.500000,0.864486,1.213730e-06
RDKitDescriptorsResults/AURKB_Decision Tree,0.196147,0.581827,0.855140,1.243667e-08
RDKitDescriptorsResults/AURKB_Random Forest,0.135514,0.500000,0.864486,7.782971e-07
RDKitDescriptorsResults/AURKB_AdaBoost,0.205182,0.611929,0.831776,1.183685e-07
RDKitDescriptorsResults/AURKB_Naive Bayes,0.153817,0.568220,0.303738,4.355880e-09
RDKitDescriptorsResults/AURKB_QDA,0.135514,0.491892,0.850467,3.357401e-08
RDKitDescriptorsResults/AURKB_PLS-DA,0.427535,0.780056,0.864486,1.294324e-07
RDKitDescriptorsResults/AURKB_DNN,0.361730,0.821249,0.855140,2.020168e-05
RDKitDescriptorsResults/AURKC_Nearest Neighbors,0.181398,0.629410,0.850467,1.897719e-08
RDKitDescriptorsResults/AURKC_Linear SVM,0.188164,0.579103,0.897196,7.216706e-09
RDKitDescriptorsResults/AURKC_RBF SVM,0.107477,0.497382,0.887850,1.791780e-08
RDKitDescriptorsResults/AURKC_Gaussian Process,0.124543,0.519121,0.892523,5.564609e-06
RDKitDescriptorsResults/AURKC_Decision Tree,0.267787,0.688595,0.887850,1.071073e-08
RDKitDescriptorsResults/AURKC_Random Forest,0.107477,0.500000,0.892523,7.637841e-07
RDKitDescriptorsResults/AURKC_AdaBoost,0.216795,0.631232,0.887850,1.175083e-07
RDKitDescriptorsResults/AURKC_Naive Bayes,0.114694,0.534487,0.373832,4.672033e-09
RDKitDescriptorsResults/AURKC_QDA,0.107477,0.497382,0.887850,3.334395e-08
RDKitDescriptorsResults/AURKC_PLS-DA,0.286723,0.648532,0.897196,9.800885e-08
RDKitDescriptorsResults/AURKC_DNN,0.429389,0.750057,0.901869,2.074841e-05
RDKitDescriptorsResults/AXL_Nearest Neighbors,0.472741,0.764409,0.920561,1.540108e-08
RDKitDescriptorsResults/AXL_Linear SVM,0.288607,0.608437,0.897196,6.219907e-09
RDKitDescriptorsResults/AXL_RBF SVM,0.126168,0.500000,0.873832,1.777160e-08
RDKitDescriptorsResults/AXL_Gaussian Process,0.195483,0.552882,0.883178,5.676754e-06
RDKitDescriptorsResults/AXL_Decision Tree,0.181464,0.584373,0.855140,1.297412e-08
RDKitDescriptorsResults/AXL_Random Forest,0.158532,0.518519,0.878505,7.565201e-07
RDKitDescriptorsResults/AXL_AdaBoost,0.233059,0.613587,0.878505,1.267172e-07
RDKitDescriptorsResults/AXL_Naive Bayes,0.154932,0.604674,0.364486,4.604774e-09
RDKitDescriptorsResults/AXL_QDA,0.126168,0.497326,0.869159,4.216905e-08
RDKitDescriptorsResults/AXL_PLS-DA,0.478756,0.873242,0.873832,1.005119e-07
RDKitDescriptorsResults/AXL_DNN,0.593596,0.907903,0.906542,2.081199e-05
RDKitDescriptorsResults/BIKE_Nearest Neighbors,0.246279,0.603090,0.887850,1.359224e-08
